!SIL 1.0	SIL
<UNK> 1.0	SPN
a 1.0	a 
aaba 1.0	a a b a 
aacipu 1.0	a a c i p u 
aadi 1.0	a a d i 
aadɔni 1.0	a a d ɔ n i 
aagɔvu 1.0	a a g ɔ v u 
aakiti 1.0	a a k i t i 
aalɔɔn 1.0	a a l ɔ ɔ n 
aamɔni 1.0	a a m ɔ n i 
aamɔwabu 1.0	a a m ɔ w a b u 
aanani 1.0	a a n a n i 
aanɔni 1.0	a a n ɔ n i 
aapadu 1.0	a a p a d u 
aapakisadu 1.0	a a p a k i s a d u 
aasa 1.0	a a s a 
aatazεεzεsi 1.0	a a t a z ε ε z ε s i 
aatemasi 1.0	a a t e m a s i 
aatemisi 1.0	a a t e m i s i 
aavadi 1.0	a a v a d i 
aavadinu 1.0	a a v a d i n u 
abadɔɔn 1.0	a b a d ɔ ɔ n 
abana 1.0	a b a n a 
abaɖa 1.0	a b a ɖ a 
abaɖaxwejεsu 1.0	a b a ɖ a x w e j ε s u 
aba 1.0	a b a 
abi 1.0	a b i 
abibu 1.0	a b i b u 
abilamu 1.0	a b i l a m u 
abimεlεki 1.0	a b i m ε l ε k i 
abiya 1.0	a b i y a 
abiyataa 1.0	a b i y a t a a 
ablanɔ 1.0	a b l a n ɔ 
ablaxamu 1.0	a b l a x a m u 
ablu 1.0	a b l u 
abluzan 1.0	a b l u z a n 
ablamu 1.0	a b l a m u 
abokoun 1.0	a b o k o u n 
abraham 1.0	a b r a h a m 
abusalɔmu 1.0	a b u s a l ɔ m u 
abwε 1.0	a b w ε 
abɔbɔ 1.0	a b ɔ b ɔ 
abɔxwisun 1.0	a b ɔ x w i s u n 
abɔ 1.0	a b ɔ 
abɔgo 1.0	a b ɔ g o 
abɔta 1.0	a b ɔ t a 
abɔtavɔ 1.0	a b ɔ t a v ɔ 
abεli 1.0	a b ε l i 
ac 1.0	a c 
aca 1.0	a c a 
acagbe 1.0	a c a g b e 
acakpo 1.0	a c a k p o 
accident 1.0	a c c i d e n t 
ace 1.0	a c e 
acecico 1.0	a c e c i c o 
acehuu 1.0	a c e h u u 
acekpikpa 1.0	a c e k p i k p a 
acela 1.0	a c e l a 
acibεli 1.0	a c i b ε l i 
acidɔdi 1.0	a c i d ɔ d i 
acidɔdigbe 1.0	a c i d ɔ d i g b e 
acidɔdinu 1.0	a c i d ɔ d i n u 
acikelɔni 1.0	a c i k e l ɔ n i 
acikenazi 1.0	a c i k e n a z i 
acima 1.0	a c i m a 
acina 1.0	a c i n a 
acitalɔti 1.0	a c i t a l ɔ t i 
acitalɔtikaanayimu 1.0	a c i t a l ɔ t i k a a n a y i m u 
acitalɔtinu 1.0	a c i t a l ɔ t i n u 
aciwati 1.0	a c i w a t i 
acani 1.0	a c a n i 
aceji 1.0	a c e j i 
acu 1.0	a c u 
acuu 1.0	a c u u 
acɔ 1.0	a c ɔ 
acɔnkwin 1.0	a c ɔ n k w i n 
acɔnmɔ 1.0	a c ɔ n m ɔ 
acɔnu 1.0	a c ɔ n u 
acɔɖiɖo 1.0	a c ɔ ɖ i ɖ o 
acɔɖonu 1.0	a c ɔ ɖ o n u 
acɔwu 1.0	a c ɔ w u 
acεε 1.0	a c ε ε 
acε 1.0	a c ε 
acεgannaganna 1.0	a c ε g a n n a g a n n a 
acεgannagannakpanumεtɔ 1.0	a c ε g a n n a g a n n a k p a n u m ε t ɔ 
acεgbatɔ 1.0	a c ε g b a t ɔ 
acεgbigba 1.0	a c ε g b i g b a 
acεkpikpa 1.0	a c ε k p i k p a 
acεkpe 1.0	a c ε k p e 
ada 1.0	a d a 
adade 1.0	a d a d e 
adado 1.0	a d a d o 
adagbigbo 1.0	a d a g b i g b o 
adagbotɔ 1.0	a d a g b o t ɔ 
adaja 1.0	a d a j a 
adajaxu 1.0	a d a j a x u 
adakacomewu 1.0	a d a k a c o m e w u 
adalya 1.0	a d a l y a 
adamagbo 1.0	a d a m a g b o 
adan 1.0	a d a n 
adangbomε 1.0	a d a n g b o m ε 
adaya 1.0	a d a y a 
adayahu 1.0	a d a y a h u 
adaɖe 1.0	a d a ɖ e 
adaka 1.0	a d a k a 
adakaxixo 1.0	a d a k a x i x o 
adakaxotɔ 1.0	a d a k a x o t ɔ 
adangbomεzan 1.0	a d a n g b o m ε z a n 
adankanlin 1.0	a d a n k a n l i n 
adannyi 1.0	a d a n n y i 
adanwiwa 1.0	a d a n w i w a 
adanu 1.0	a d a n u 
adanuwatɔ 1.0	a d a n u w a t ɔ 
adanuwiwa 1.0	a d a n u w i w a 
adeada 1.0	a d e a d a 
adibeεli 1.0	a d i b e ε l i 
adigban 1.0	a d i g b a n 
adima 1.0	a d i m a 
adimata 1.0	a d i m a t a 
adimεvi 1.0	a d i m ε v i 
adina 1.0	a d i n a 
adingban 1.0	a d i n g b a n 
adingbannɔ 1.0	a d i n g b a n n ɔ 
adingbanxo 1.0	a d i n g b a n x o 
adingbanzɔ 1.0	a d i n g b a n z ɔ 
adingbanɖiɖo 1.0	a d i n g b a n ɖ i ɖ o 
adini 1.0	a d i n i 
adinaxi 1.0	a d i n a x i 
aditayimu 1.0	a d i t a y i m u 
aditi 1.0	a d i t i 
adiyεli 1.0	a d i y ε l i 
adii 1.0	a d i i 
adla 1.0	a d l a 
adlamitiwɔmu 1.0	a d l a m i t i w ɔ m u 
adlamεlεki 1.0	a d l a m ε l ε k i 
adlayi 1.0	a d l a y i 
adliatiki 1.0	a d l i a t i k i 
adliεli 1.0	a d l i ε l i 
adlu 1.0	a d l u 
ado 1.0	a d o 
adogwle 1.0	a d o g w l e 
adohu 1.0	a d o h u 
adohuhu 1.0	a d o h u h u 
adolayimu 1.0	a d o l a y i m u 
adolamu 1.0	a d o l a m u 
adomε 1.0	a d o m ε 
adonibεzeki 1.0	a d o n i b ε z e k i 
adonikamu 1.0	a d o n i k a m u 
adonilamu 1.0	a d o n i l a m u 
adonisedεki 1.0	a d o n i s e d ε k i 
adoniya 1.0	a d o n i y a 
adoniyahu 1.0	a d o n i y a h u 
adoniyasi 1.0	a d o n i y a s i 
adudaa 1.0	a d u d a a 
adulamu 1.0	a d u l a m u 
adulamunu 1.0	a d u l a m u n u 
adumimu 1.0	a d u m i m u 
adunvɔ 1.0	a d u n v ɔ 
adaa 1.0	a d a a 
adaasun 1.0	a d a a s u n 
adama 1.0	a d a m a 
adaminεgεvu 1.0	a d a m i n ε g ε v u 
adamu 1.0	a d a m u 
ade 1.0	a d e 
adovwe 1.0	a d o v w e 
adu 1.0	a d u 
adɔ 1.0	a d ɔ 
adɔgo 1.0	a d ɔ g o 
adɔkan 1.0	a d ɔ k a n 
adɔn 1.0	a d ɔ n 
adɔndindɔn 1.0	a d ɔ n d i n d ɔ n 
adɔtɔnɔ 1.0	a d ɔ t ɔ n ɔ 
adɔtεn 1.0	a d ɔ t ε n 
adɔgba 1.0	a d ɔ g b a 
adɔkpo 1.0	a d ɔ k p o 
adɔta 1.0	a d ɔ t a 
adɔvε 1.0	a d ɔ v ε 
adɔzan 1.0	a d ɔ z a n 
afaasataki 1.0	a f a a s a t a k i 
afalasi 1.0	a f a l a s i 
afatɔn 1.0	a f a t ɔ n 
afatɔngan 1.0	a f a t ɔ n g a n 
afatɔngɔ 1.0	a f a t ɔ n g ɔ 
afayizεn 1.0	a f a y i z ε n 
afeka 1.0	a f e k a 
afi 1.0	a f i 
afin 1.0	a f i n 
aflemu 1.0	a f l e m u 
afluiflui 1.0	a f l u i f l u i 
aflele 1.0	a f l e l e 
afo 1.0	a f o 
afokou 1.0	a f o k o u 
afuɖutɔ 1.0	a f u ɖ u t ɔ 
afya 1.0	a f y a 
afiaxi 1.0	a f i a x i 
afikinu 1.0	a f i k i n u 
afinbεnu 1.0	a f i n b ε n u 
afingannu 1.0	a f i n g a n n u 
afu 1.0	a f u 
afuntunkplɔ 1.0	a f u n t u n k p l ɔ 
afuntuntun 1.0	a f u n t u n t u n 
afɔ 1.0	a f ɔ 
afɔdo 1.0	a f ɔ d o 
afɔdomε 1.0	a f ɔ d o m ε 
afɔdogbetɔ 1.0	a f ɔ d o g b e t ɔ 
afɔfun 1.0	a f ɔ f u n 
afɔgbe 1.0	a f ɔ g b e 
afɔgbεnnu 1.0	a f ɔ g b ε n n u 
afɔgokɔ 1.0	a f ɔ g o k ɔ 
afɔgomε 1.0	a f ɔ g o m ε 
afɔji 1.0	a f ɔ j i 
afɔklεnnu 1.0	a f ɔ k l ε n n u 
afɔklεnnuxo 1.0	a f ɔ k l ε n n u x o 
afɔkpa 1.0	a f ɔ k p a 
afɔkpakan 1.0	a f ɔ k p a k a n 
afɔkponɔ 1.0	a f ɔ k p o n ɔ 
afɔkpakpa 1.0	a f ɔ k p a k p a 
afɔku 1.0	a f ɔ k u 
afɔkɔ 1.0	a f ɔ k ɔ 
afɔligbe 1.0	a f ɔ l i g b e 
afɔligbezanzanhwe 1.0	a f ɔ l i g b e z a n z a n h w e 
afɔnnu 1.0	a f ɔ n n u 
afɔsu 1.0	a f ɔ s u 
afɔte 1.0	a f ɔ t e 
afɔton 1.0	a f ɔ t o n 
afɔtantɔn 1.0	a f ɔ t a n t ɔ n 
afɔtɔn 1.0	a f ɔ t ɔ n 
afɔtɔngɔ 1.0	a f ɔ t ɔ n g ɔ 
afɔtɔnnukun 1.0	a f ɔ t ɔ n n u k u n 
afɔtɔnnukunatɔn 1.0	a f ɔ t ɔ n n u k u n a t ɔ n 
afɔtɔnnukunatɔngɔ 1.0	a f ɔ t ɔ n n u k u n a t ɔ n g ɔ 
afɔtɔnnukunwe 1.0	a f ɔ t ɔ n n u k u n w e 
afɔtɔnnukunwegɔ 1.0	a f ɔ t ɔ n n u k u n w e g ɔ 
afɔtɔnnukunɖokpo 1.0	a f ɔ t ɔ n n u k u n ɖ o k p o 
