wav_filename,wav_filesize,transcript
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_001.wav,2.404875,xo ɔ gbla to nu mi
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_002.wav,2.246125,avɔ elɔ gɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_003.wav,1.9058125,e kwiji
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_004.wav,2.246125,un do gbe nu we
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_005.wav,2.8133125,e ɖu lεsin nusunnu mεvo
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_006.wav,3.2216875,vi ce hɔn bo nɔ gbɔn gbegbe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_007.wav,1.9058125,hwlεn mi gan
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_008.wav,2.6318125,e ma nyɔ xo ɖo gε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_009.wav,2.2688125,e gbo hwε gblulu
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_010.wav,2.56375,e gbijɔ gbadeti ɔ
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_011.wav,3.10825,nyε wε nyi aklunɔ mawu mitɔn
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_012.wav,3.3124375,e ɖo anɔ gbagba ɖakɔn mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_013.wav,8.870875,ɖyiɔvi anɔ gbagba wε fan sin nu tɔli gan ɖalaga sin fan ba un ɖe a alɔ e fan sin ɔ ba un ɖe
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_014.wav,3.2670625,e nɔ daziin bε nɔ wu fyo a
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_015.wav,2.56375,mi na gbo xɔ ɔ ɖo we
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_016.wav,1.8150625,gan tεnwe mε
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_017.wav,2.246125,azɔn gbε sin
/home/frejus/Projects/Fongbe_ASR/pyFongbe/data/train/wav/armandine/armandine_fongbe_corp005_018.wav,2.11,afɔkpa ɔ fyɔn mi
